Days from Christmas,Year,Day,Date,Trees,Cumulative,Notes,Percent of Year,Day Percent of Year
36,2005,Saturaday,11/19/05,1,1,,0.17%,0.17%
32,2005,Wednesday,11/23/05,1,2,,0.34%,0.17%
30,2005,Friday,11/25/05,6,8,,1.36%,1.02%
29,2005,Saturaday,11/26/05,18,26,,4.42%,3.06%
28,2005,Sunday,11/27/05,17,43,,7.31%,2.89%
24,2005,Thursday,12/01/05,5,48,,8.16%,0.85%
23,2005,Friday,12/02/05,12,60,,10.20%,2.04%
22,2005,Saturaday,12/03/05,60,120,,20.41%,10.20%
21,2005,Sunday,12/04/05,68,188,,31.97%,11.56%
20,2005,Monday,12/05/05,3,191,,32.48%,0.51%
18,2005,Wednesday,12/07/05,4,195,,33.16%,0.68%
17,2005,Thursday,12/08/05,50,245,,41.67%,8.50%
16,2005,Friday,12/09/05,26,271,Snow,46.09%,4.42%
15,2005,Saturaday,12/10/05,68,339,,57.65%,11.56%
14,2005,Sunday,12/11/05,122,461,,78.40%,20.75%
10,2005,Thursday,12/15/05,39,500,,85.03%,6.63%
9,2005,Friday,12/16/05,11,511,,86.90%,1.87%
8,2005,Saturaday,12/17/05,40,551,,93.71%,6.80%
7,2005,Sunday,12/18/05,35,586,,99.66%,5.95%
3,2005,Thursday,12/22/05,2,588,,100.00%,0.34%
30,2006,Saturday,11/25/06,4,4,,0.93%,0.93%
29,2006,Sunday,11/26/06,3,7,,1.63%,0.70%
23,2006,Saturday,12/02/06,58,65,first day,15.15%,13.52%
22,2006,Sunday,12/03/06,78,143,,33.33%,18.18%
16,2006,Saturday,12/09/06,118,261,,60.84%,27.51%
15,2006,Sunday,12/10/06,101,362,,84.38%,23.54%
9,2006,Saturday,12/16/06,57,419,,97.67%,13.29%
,2006,postclose,,10,429,,100.00%,2.33%
,2007,preopen,11/24/07,12,12,,2.48%,2.48%
24,2007,Saturday,12/01/07,50,62,Open,12.84%,10.35%
23,2007,Sunday,12/02/07,47,109,,22.57%,9.73%
17,2007,Saturday,12/08/07,114,223,,46.17%,23.60%
16,2007,Sunday,12/09/07,117,340,,70.39%,24.22%
10,2007,Saturday,12/15/07,130,470,,97.31%,26.92%
9,2007,Sunday,12/16/07,8,478,"bad storm, end of season compount effect",98.96%,1.66%
,2007,postclose,,5,483,,100.00%,1.04%
26,2008,Saturday,11/29/08,33,33,includes pre,6.57%,6.57%
25,2008,Sunday,11/30/08,27,60,,11.95%,5.38%
19,2008,Saturday,12/06/08,74,134,snowy,26.69%,14.74%
18,2008,Sunday,12/07/08,101,235,,46.81%,20.12%
12,2008,Saturday,12/13/08,132,367,,73.11%,26.29%
11,2008,Sunday,12/14/08,90,457,,91.04%,17.93%
5,2008,Saturday,12/20/08,45,502,post close,100.00%,8.96%
,2009,preopen,,9,9,,1.71%,1.71%
20,2009,Saturday,12/05/09,137,146,,27.81%,26.10%
19,2009,Sunday,12/06/09,70,216,,41.14%,13.33%
13,2009,Saturday,12/12/09,165,381,,72.57%,31.43%
12,2009,Sunday,12/13/09,139,520,,99.05%,26.48%
,2009,postclose,,5,525,,100.00%,0.95%
,2010,preopen,,9,9,,1.71%,1.71%
21,2010,Saturday,12/04/10,137,146,,27.81%,26.10%
20,2010,Sunday,12/05/10,70,216,,41.14%,13.33%
14,2010,Saturday,12/11/10,165,381,,72.57%,31.43%
13,2010,Sunday,12/12/10,139,520,,99.05%,26.48%
,2010,postclose,,5,525,,100.00%,0.95%
,2011,preopen,,5,5,,0.90%,0.90%
22,2011,Saturday,12/03/11,107,112,,20.18%,19.28%
21,2011,Sunday,12/04/11,100,212,,38.20%,18.02%
15,2011,Saturday,12/10/11,143,355,,63.96%,25.77%
14,2011,Sunday,12/11/11,127,482,,86.85%,22.88%
8,2011,Saturday,12/17/11,73,555,,100.00%,13.15%
,2011,postclose ,,0,555,,100.00%,0.00%
,2012,preopen,,7,7,,1.26%,1.26%
24,2012,Saturday,12/01/12,85,92,cold,16.52%,15.26%
23,2012,Sunday,12/02/12,57,149,rain,26.75%,10.23%
17,2012,Saturday,12/08/12,86,235,rain,42.19%,15.44%
16,2012,Sunday,12/09/12,156,391,sunny,70.20%,28.01%
10,2012,Saturday,12/15/12,107,498,,89.41%,19.21%
9,2012,Sunday,12/16/12,52,550,,98.74%,9.34%
,2012,postclose,,7,557,,100.00%,1.26%
,2013,preopen,,24,24,,4.26%,4.26%
25,2013,Saturday,11/30/13,60,84,sunny,14.89%,10.64%
24,2013,Sunday,12/01/13,36,120,rain showers,21.28%,6.38%
18,2013,Saturday,12/07/13,162,282,,50.00%,28.72%
17,2013,Sunday,12/08/13,134,416,,73.76%,23.76%
11,2013,Saturday,12/14/13,141,557,very cold,98.76%,25.00%
10,2013,Sunday,12/15/13,0,557,snow storm closed,98.76%,0.00%
,2013,postclose,,7,564,,100.00%,1.24%
,2014,preopen,,37,37,,6.27%,6.27%
26,2014,Saturday,11/29/14,50,87,,14.75%,8.47%
25,2014,Sunday,11/30/14,46,133,,22.54%,7.80%
19,2014,Saturday,12/06/14,72,205,rainy,34.75%,12.20%
18,2014,Sunday,12/07/14,186,391,cold sunny,66.27%,31.53%
12,2014,Saturday,12/13/14,111,502,,85.08%,18.81%
11,2014,Sunday,12/14/14,79,581,,98.47%,13.39%
,2014,postclose,,9,590,,100.00%,1.53%
,2015,preopen,,3,3,,0.45%,0.45%
27,2015,Saturday,11/28/15,50,53,,7.92%,7.47%
26,2015,Sunday,11/29/15,59,112,,16.74%,8.82%
20,2015,Saturday,12/05/15,141,253,warm sunny,37.82%,21.08%
19,2015,Sunday,12/06/15,168,421,warm sunny,62.93%,25.11%
13,2015,Saturday,12/12/15,150,571,warm,85.35%,22.42%
12,2015,Sunday,12/13/15,98,669,,100.00%,14.65%
,2015,postclose,,0,669,,,
,2016,preopen,,4,4,,0.60%,0.60%
29,2016,Saturday,11/26/16,52,56,,8.35%,7.75%
28,2016,Sunday,11/27/16,49,105,,15.65%,7.30%
22,2016,Saturday,12/03/16,118,223,,33.23%,17.59%
21,2016,Sunday,12/04/16,119,342,,50.97%,17.73%
15,2016,Saturday,12/10/16,171,513,cold sunny,76.45%,25.48%
14,2016,Sunday,12/11/16,102,615,cold sunny,91.65%,15.20%
8,2016,Saturday,12/17/16,34,649,,96.72%,5.07%
7,2016,Sunday,12/18/16,5,654,,97.47%,0.75%
,2016,postclose,,17,671,,100.00%,2.53%
,2017,preopen,,1,1,,0.15%,0.15%
30,2017,Saturday,11/25/17,66,67,,10.04%,9.90%
29,2017,Sunday,11/26/17,33,100,,14.99%,4.95%
23,2017,Saturday,12/02/17,111,211,,31.63%,16.64%
22,2017,Sunday,12/03/17,110,321,,48.13%,16.49%
16,2017,Saturday,12/09/17,170,491,,73.61%,25.49%
15,2017,Sunday,12/10/17,59,550,,82.46%,8.85%
9,2017,Saturday,12/16/17,71,621,,93.10%,10.64%
8,2017,Sunday,12/17/17,42,663,,99.40%,6.30%
,2017,postclose,,4,667,,100.00%,0.60%
